no,部屋,本文,題を付ける,題,register,季節,時刻帯,created_at,天気,色相,トーン,エリア,trace,traceパターン,trace補足,備考
1,人生,降りやまない朝は、たぶん外に出なくていいという意味なんだと思う。,,,ちゃんとした一文,夏,朝,2025-08-01 7:23,雨,285,75,,あり,3,書いて全部消して、もう一度,
2,お金,自販機の下に百円玉,,,観察,夏,昼,2025-08-02 13:04,雨,228,92,,あり,3,書いて全部消して、もう一度,
3,趣味,この曲、あなたに教えたらきっと好きになる。もう会えないけど。,,,誰かへ,夏,昼,2025-08-04 13:18,晴,175,35,,あり,5,誤変換を1回直す,
4,友達,夕方の匂いがした気がして、,,,断片,夏,夕,2025-08-04 17:22,晴,98,92,,なし,,,
5,学校,熱帯夜、寝たふり,,,断片,夏,夜,2025-08-04 21:04,晴,33,92,,あり,2,途中で3〜8秒止まる（にじみ）,
6,生活,麦茶が切れてた。,,,断片,夏,昼,2025-08-05 11:29,晴,18,55,,あり,2,途中で3〜8秒止まる（にじみ）,
7,生活,セミの声が急にやんで、世界が一瞬とまったみたいだった。,○,夏がとまる,ちゃんとした一文,夏,夕,2025-08-05 19:29,晴,25,75,,あり,6,最後の一語だけ書き換えて放つ,
8,世界,傘をささない人,,,観察,夏,昼,2025-08-07 13:36,雨,313,55,,あり,4,語尾を何度も直す,
9,心,朝がずっと続くみたいな憂鬱さ,,,断片,夏,朝,2025-08-08 6:53,曇,115,55,,あり,2,途中で3〜8秒止まる（にじみ）,
10,心,夕立のぬるい風がいちばん夏だと思う。,,,ちゃんとした一文,夏,夕,2025-08-09 16:51,晴,78,35,,あり,4,語尾を何度も直す,
11,学校,夏休みの補習、板書より外を見ていた。,,,ちゃんとした一文,夏,夕,2025-08-10 18:52,晴,183,55,,あり,6,最後の一語だけ書き換えて放つ,
12,心,考えごとが多い日ほど、空は蒼い。,,,断片,夏,昼,2025-08-11 12:38,曇,103,15,,あり,2,途中で3〜8秒止まる（にじみ）,
